"4º Grado en Ingeniería Informática (Ingeniería de computadores)
1er cuatrimestre","","","","",""
"","Lunes","Martes","Miércoles","Jueves","Viernes"
"8:30-9:30","","","","",""
"9:30-10:30","SE
2.8","TE
1.1","TR
1.1","II
1.1","TR
3.4"
"10:30-11:30","SE
2.8","TE
1.1","TR
1.1","II
1.1","TR
3.4"
"11:30-12:30","SE
2.8","TE
3.9","CPD
3.7/1.1","II
3.9","CPD
1.1"
"12:30-13:30","SE
2.8","TE
3.9","CPD
3.7/1.1","II
3.9","CPD
1.1"
"13:30-14:30","","","","",""
"","","","","",""
"15:30-16:30","","","","",""
"16:30-17:30","","","","",""
"17:30-18:30","","","","",""
"18:30-19:30","","","","",""
"19:30-20:30","","","","",""
"20:30-21:30","","","","",""
