"2º A Grado en Ingeniería Informática
1er. cuatrimestre","","","","",""
"","Lunes","Martes","Miércoles","Jueves","Viernes"
"8:30-9:30","","","","","ED
0.1"
"9:30-10:30","ED
0.1","EC
0.1","SO
0.1","PDOO
0.1","SCD
0.1"
"10:30-11:30","ED
0.1","EC
0.1","SO
0.1","PDOO
0.1","SCD
0.1"
"11:30-12:30","SCD (A1)
PDOO(A2)
SO (A3)
2.2
2.4
2.3","SCD (A2)
SO (A1)
EC (A3)
2.2
2.3
2.9","EC (A1)
PDOO(A3)
ED (A2)
2.3
2.4
2.2","SCD (A3)
EC(A2)
ED (A1)
2.4
3.7
2.1","ED (A3)
PDOO(A1)
SO (A2)
3.5
2.4
2.2"
"12:30-13:30","SCD (A1)
PDOO(A2)
SO (A3)
2.2
2.4
2.3","SCD (A2)
SO (A1)
EC (A3)
2.2
2.3
2.9","EC (A1)
PDOO(A3)
2.3
2.4","SCD (A3)
EC(A2)
2.4
3.7","PDOO(A1)
SO (A2)
2.4
2.2"
"13:30-14:30","","","","",""
"","","","","",""
"15:30-16:30","","","","",""
"16:30-17:30","","","","",""
"17:30-18:30","","","","",""
"18:30-19:30","","","","",""
"19:30-20:30","","","","",""
"20:30-21:30","","","","",""
