"2º B Grado en Ingeniería Informática
1er. cuatrimestre","","","","",""
"","Lunes","Martes","Miércoles","Jueves","Viernes"
"8:30-9:30","","","","",""
"9:30-10:30","EC (B1)
PDOO(B3)
SO (B2)
2.9
2.4
3.2","SCD (B1)
PDOO(B2)
SO (B3)
2.2
2.4
2.3","SCD (B2)
SO (B1)
2.2
2.3","EC (B3)
PDOO(B1)
2.9
2.4","SCD (B3)
EC(B2)
2.1
2.4"
"10:30-11:30","EC (B1)
PDOO(B3)
SO (B2)
2.9
2.4
3.2","SCD (B1)
PDOO(B2)
SO (B3)
2.2
2.4
2.3","SCD (B2)
SO (B1)
ED (B3)
2.2
2.3
3.5","EC (B3)
PDOO(B1)
ED (B2)
2.9
2.4
3.2","SCD (B3)
EC(B2)
ED (B1)
2.1
2.4
3.9"
"11:30-12:30","SCD
0.1","EC
0.1","PDOO
0.1","ED
0.1","PDOO
0.1"
"12:30-13:30","SCD
0.1","EC
0.1","SO
0.1","ED
0.1","SO
0.1"
"13:30-14:30","","","ED
0.1","",""
"","","","","",""
"15:30-16:30","","","","",""
"16:30-17:30","","","","",""
"17:30-18:30","","","","",""
"18:30-19:30","","","","",""
"19:30-20:30","","","","",""
"20:30-21:30","","","","",""
