"4º Grado en Ingeniería Informática (Sistemas de Información)
1er cuatrimestre","","","","",""
"","Lunes","Martes","Miércoles","Jueves","Viernes"
"8:30-9:30","","RSC
3.3","","GRD
2.7",""
"9:30-10:30","RI2
IN1
3.1
3.3","RSC
3.3","IN2
BDD1
3.2
3.1","GRD
2.7","RI
1.8"
"10:30-11:30","RI2
IN1
3.1
3.3","RSC
1.8","IN2
BDD1
3.2
3.1","SIG
3.3","RI
1.8"
"11:30-12:30","IN
1.8","RSC
1.8","BDD
1.8","SIG
3.3","RI1
BDD2
2.7
3.1"
"12:30-13:30","IN
1.8","GRD
1.8","BDD
1.8","SIG
3.3","RI1
BDD2
2.7
3.1"
"13:30-14:30","","GRD
1.8","","SIG
3.3",""
"","","","","",""
"15:30-16:30","","","","",""
"16:30-17:30","","","","",""
"17:30-18:30","","","","",""
"18:30-19:30","","","","",""
"19:30-20:30","","","","",""
"20:30-21:30","","","","",""
