"2º A Grado en Ingeniería Informática
2º cuatrimestre","","","","",""
"","Lunes","Martes","Miércoles","Jueves","Viernes"
"8:30-9:30","","","","",""
"9:30-10:30","IA (A1)
FBD (A2)
AC (A3)
2.7
2.6
3.7","ALG (A3)
FBD (A1)
FIS (A2)
2.6
3.7
2.7","AC (A2)
FIS (A3)
FBD (A1)
3.7
2.7
2.6","FIS (A1)
IA (A2)
FBD (A3)
2.7
3.7
2.6","FBD (A2)
AC (A1)
IA (A3)
2.6
3.7
2.7"
"10:30-11:30","IA (A1)
ALG (A2)
AC (A3)
2.7
2.6
3.7","FBD (A3)
ALG (A1)
FIS (A2)
2.6
3.7
2.7","AC (A2)
FIS (A3)
FBD (A1)
3.7
2.7
2.6","FIS (A1)
IA (A2)
FBD (A3)
2.7
3.7
2.6","FBD (A2)
AC (A1)
IA (A3)
2.6
3.7
2.7"
"11:30-12:30","AC
0.1","FBD
0.1","IA
0.1","ALG
0.1","FIS
0.1"
"12:30-13:30","ALG
0.1","AC
0.1","IA
0.1","ALG
0.1","FIS
0.1"
"13:30-14:30","","","","",""
"","","","","",""
"15:30-16:30","","","","",""
"16:30-17:30","","","","",""
"17:30-18:30","","","","",""
"18:30-19:30","","","","",""
"19:30-20:30","","","","",""
"20:30-21:30","","","","",""
