"1º D Grado en Ingeniería Informática
2º cuatrimestre","","","","",""
"","Lunes","Martes","Miércoles","Jueves","Viernes"
"8:30-9:30","","","","",""
"9:30-10:30","","","","",""
"10:30-11:30","","","","",""
"11:30-12:30","","","","",""
"12:30-13:30","","","","",""
"13:30-14:30","","","","",""
"","","","","",""
"15:30-16:30","LMD
0.2","IES
0.2","ES
0.2","LMD
0.2","IES
0.2"
"16:30-17:30","LMD
0.2","IES
0.2","ES
0.2","ES
0.2","IES
0.2"
"17:30-18:30","TOC
0.2","MP (D1)
ES (D2)
TOC (D3)
3.1
2.1
3.8","ES (D1)
TOC (D2)
MP (D3)
2.1
3.8
3.1","MP
0.2","TOC (D1)
MP (D2)
LMD (D3)
3.8
3.1
2.1"
"18:30-19:30","TOC
0.2","MP (D1)
LMD (D2)
TOC (D3)
3.1
2.1
3.8","LMD (D1)
TOC (D2)
MP (D3)
2.1
3.8
3.1","MP
0.2","MP (D2)
ES (D3)
TOC (D1)
3.8
3.1
2.1"
"19:30-20:30","","","","",""
"20:30-21:30","","","","",""
