"1º B Grado en Ingeniería Informática
2º cuatrimestre","","","","",""
"","Lunes","Martes","Miércoles","Jueves","Viernes"
"8:30-9:30","","","","",""
"9:30-10:30","ES
0.3","MP
0.3","IES
0.3","IES
0.3","LMD
0.3"
"10:30-11:30","ES
0.3","LMD
0.3","IES
0.3","IES
0.3","ES
0.3"
"11:30-12:30","TOC (B1)
MP (B2)
ES(B3)
3.8
3.1
2.1","MP (B1)
LMD (B2)
TOC (B3)
3.1
2.1
3.8","ES (B1)
TOC (B2)
MP (B3)
2.1
3.8
3.1","MP
0.3","TOC
0.3"
"12:30-13:30","TOC (B1)
MP (B2)
LMD(B3)
3.8
3.1
2.1","MP (B1)
ES (B2)
TOC (B3)
3.1
2.1
3.8","LMD (B1)
TOC (B2)
MP (B3)
2.1
3.8
3.1","LMD
0.3","TOC
0.3"
"13:30-14:30","","","","",""
"","","","","",""
"15:30-16:30","","","","",""
"16:30-17:30","","","","",""
"17:30-18:30","","","","",""
"18:30-19:30","","","","",""
"19:30-20:30","","","","",""
"20:30-21:30","","","","",""
