"CALENDARIO EXÁMENES 2018/2019
GRADO EN INGENIERÍA INFORMÁTICA","","","","","","","","","","","","","","","","","",""
"2º Semestre – Extraordinaria","","","","","","Día
27
Jun.","Día
28
Jun.","Día
29","Día
1
Jul.","Día
2
Jul.","Día
3
Jul.","Día
4
Jul.","Día
5
Jul.","Día
6","Día
8
Jul.","Día
9
Jul.","Día
10
Jul.","Día
11
Jul."
"Tit
GI","Cur","Int
4 COMP","Cuat","Acr
2 EISI","Nombre
Ética, Informática y Sociedad de la Información","","","","","","","","T","","","","",""
"GI","","4 COMP","","2 CEGE","Creación de Empresas y Gestión Emprendedora","","T","","","","","","","","","","",""
"GI","","4 COMP","","2 DI","Derecho Informático","","","","","","","","","","","","T",""
