"CALENDARIO EXÁMENES 2018/2019
GRADO EN INGENIERÍA INFORMÁTICA","","","","","","","","","","","","","","","","","",""
"2º Semestre – Extraordinaria","","","","","","Día
27
Jun.","Día
28
Jun.","Día
29","Día
1
Jul.","Día
2
Jul.","Día
3
Jul.","Día
4
Jul.","Día
5
Jul.","Día
6","Día
8
Jul.","Día
9
Jul.","Día
10
Jul.","Día
11
Jul."
"Tit
Cur
Int
Cuat
Acr
Nombre
GI
3 SI
2 ABD
Administración de Bases de Datos","","","","","","","","","","","","","","","","","","T"
"GI
3 SI
2 ISI
Ingeniería de Sistemas de Información","","","","","","","T","","","","","","","","","","",""
"GI
3 SI
2 PW
Programación Web","","","","","","","","","","","","","","","T","","",""
"GI
3 SI
2 SIE
Sistemas de Información para Empresas","","","","","","","","","","","","","T","","","","",""
"GI
3 SI
2 SMD
Sistemas Multidimensionales","","","","","","","","","T","","","","","","","","",""
"GI
3 TI
2 CUIA
Computación Ubícua e Inteligencia Ambiental","","","","","","","","","T","","","","","","","","",""
"GI
3 TI
2 SMM
Sistemas Multimedia","","","","","","","","","","","","","T","","","","",""
"GI
3 TI
2 SWAP
Servidores Web de Altas Prestaciones","","","","","","","","","","","","","","","","","","T"
"GI
3 TI
2 TDRC
Transmisión de Datos y Redes de Computadores","","","","","","","T","","","","","","","","","","",""
"GI
3 TI
2 TW
Tecnologías Web","","","","","","","","","","","","","","","T","","",""
"GI
4 IC
2 CLP
Controladores Lógicos Programables","","","","","","","T","","","","","","","","","","",""
"GI
4 IC
2 CII
Circuitos Integrados e Impresos","","","","","","","","","","","","","T","","","","",""
"GI
4 IC
2 MEI
Mantenimiento de Equipos Informáticos","","","","","","","","","","","","","","","","","M",""
"GI
4 IS
2 AO
Animación por Ordenador","","","","","","","","","","","","","","","","","T",""
"GI
4 IS
2 PPR
Programación Paralela","","","","","","","T","","","","","","","","","","",""
"GI
4 IS
2 NTP
Nuevas Tecnologías de la Programación","","","","","","","","","","","","","T","","","","",""
"GI
4 CSI
2 PLD
Programación Lúdica","","","","","","","","","","","","","","","","","T",""
"GI
4 CSI
2 CRIP
Criptografía y Computación","","","","","","","","","","","","","T","","","","",""
"GI
4 CSI
2 RI
Robótica Industrial","","","","","","","T","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"GI
4 SI
2 SCGC
Sistemas Cooperativos y Gestión de Contenidos","","","","","","","","","","","","","","","","","T",""
"GI
4 SI
2 PDIH
Periféricos y Dispositivos de Interfaz Humana","","","","","","","","","","","","","T","","","","",""
"GI
4 TI
2 PDM
Programación de Dispositivos Móviles","","","","","","","T","","","","","","","","","","",""
"GI
4 TI
2 PDS
Procesamiento Digital de Señales","","","","","","","","","","","","","","","","","T",""
"GI
4 TI
2 RMS
Redes Multiservicio","","","","","","","","","","","","","T","","","","",""
"","","","","","","","","","","","","","","","","","",""
